I1,I2,I3,T1,T2,T3,Avarage,Rms,Kurtosis,Skewness,Category
0.11909,0.58545,0.41364,1.02469,1.2142,0.5963,5.0775,3.51257,-1.77214,5.24208,欠压 180V
0.11273,0.53636,0.41364,1.02284,1.19815,0.60185,5.07879,3.51129,-1.77561,5.24706,欠压 180V
0.12091,0.55818,0.41364,1.0216,1.20617,0.60741,5.07515,3.50556,-1.77154,5.23959,欠压 180V
0.12545,0.56273,0.41273,1.02469,1.2037,0.60185,5.08426,3.51551,-1.7812,5.25612,欠压 180V
0.12091,0.57182,0.41,1.02469,1.21049,0.60617,5.08038,3.51854,-1.77689,5.24894,欠压 180V
0.11727,0.62455,0.41273,1.02346,1.21173,0.61296,5.08028,3.50992,-1.77602,5.24762,欠压 180V
0.11182,0.59091,0.41909,1.02284,1.20741,0.60309,5.07486,3.49833,-1.78006,5.26481,欠压 180V
0.13,0.56727,0.47455,1.25247,1.37716,1.33457,5.92751,4.67576,-1.88061,5.44771,欠压 200V
0.11727,0.54,0.37364,1.17778,1.3716,0.7179,5.84158,4.58871,-1.82135,5.35048,欠压 200V
0.10091,0.63636,0.37273,1.17222,1.37469,0.71173,5.84095,4.58037,-1.8217,5.3485,欠压 200V
0.11364,0.60727,0.37545,1.17469,1.37284,0.71975,5.83732,4.57453,-1.82594,5.36527,欠压 200V
0.11818,0.51364,0.37545,1.17099,1.36728,0.71543,5.83502,4.56962,-1.82613,5.36569,欠压 200V
0.10364,0.59727,0.37273,1.17099,1.37346,0.72654,5.83058,4.58279,-1.81488,5.32674,欠压 200V
0.11364,0.53727,0.37364,1.17346,1.3679,0.70988,5.83237,4.56604,-1.82431,5.36011,欠压 200V
0.10727,0.60091,0.37273,1.17222,1.37037,0.72778,5.82936,4.56253,-1.82551,5.36438,欠压 200V
0.10636,0.58545,0.37182,1.16975,1.37037,0.71543,5.82779,4.55856,-1.82528,5.36284,欠压 200V
0.11636,0.54,0.37455,1.17099,1.37037,0.71173,5.82513,4.55596,-1.82444,5.36048,欠压 200V
0.10818,0.57364,0.37364,1.17099,1.3679,0.71543,5.82311,4.54957,-1.8266,5.36689,欠压 200V
0.11364,0.55091,0.37545,1.17099,1.36914,0.71975,5.82161,4.54414,-1.82852,5.37347,欠压 200V
0.11636,0.61,0.37273,1.1679,1.37037,0.71296,5.81975,4.54994,-1.82223,5.35155,欠压 200V
0.11455,0.58,0.37364,1.17222,1.36728,0.70741,5.8179,4.54197,-1.82494,5.35918,欠压 200V
0.11455,0.56545,0.37273,1.16914,1.36728,0.70309,5.8163,4.5463,-1.82267,5.35215,欠压 200V
0.10636,0.50091,0.37273,1.17099,1.36605,0.69753,5.81457,4.54294,-1.82417,5.35605,欠压 200V
0.11,0.63182,0.37182,1.16914,1.36914,0.70988,5.81236,4.54032,-1.82212,5.35048,欠压 200V
0.11727,0.59636,0.37182,1.16667,1.36605,0.72222,5.81144,4.53665,-1.82342,5.35447,欠压 200V
0.1,0.62182,0.37182,1.16667,1.36728,0.69383,5.81245,4.54376,-1.81634,5.34591,欠压 200V
0.11455,0.58,0.36636,1.1642,1.36605,0.72346,5.80825,4.53366,-1.81872,5.3385,欠压 200V
0.09273,0.62818,0.36818,1.16543,1.36358,0.71852,5.80451,4.53214,-1.82303,5.35502,欠压 200V
0.11273,0.52182,0.37,1.16235,1.35802,0.70741,5.80374,4.52841,-1.82133,5.34961,欠压 200V
0.12909,0.55182,0.37182,1.16667,1.36358,0.70556,5.80116,4.53176,-1.82906,5.37859,欠压 200V
0.11636,0.59636,0.37455,1.16667,1.36481,0.70864,5.80037,4.51484,-1.82752,5.36765,欠压 200V
0.10636,0.54364,0.37182,1.16543,1.36358,0.71173,5.80116,4.51868,-1.82489,5.35913,欠压 200V
