PCA1,PCA2,Category
2.465617906,-0.576266205,过压240V
2.448003777,-0.58095028,过压240V
2.426604772,-0.52846487,过压240V
2.426604772,-0.52846487,过压240V
2.419013159,-0.53317527,过压240V
0.284673149,0.194701279,线圈老化10Ω
0.190429746,-0.018569021,线圈老化10Ω
0.180496495,-0.017714659,线圈老化10Ω
0.173834232,0.01381978,线圈老化10Ω
0.176251497,-0.00932578,线圈老化10Ω
0.162482214,0.017287761,线圈老化10Ω
0.166715725,-0.028701538,线圈老化10Ω
0.174564949,-0.044812551,线圈老化10Ω
0.163604691,-0.014223259,线圈老化10Ω
0.148323917,0.004854954,线圈老化10Ω
0.150490233,0.014997872,线圈老化10Ω
0.139880592,0.019162397,线圈老化10Ω
0.138454175,0.021746741,线圈老化10Ω
0.134097813,0.027861083,线圈老化10Ω
0.13272304,0.00648664,线圈老化10Ω
0.12954143,0.016049912,线圈老化10Ω
0.131588267,0.012900147,线圈老化10Ω
0.122065436,0.011272154,线圈老化10Ω
0.120786429,0.020612938,线圈老化10Ω
0.113713357,0.024730143,线圈老化10Ω
0.114840521,0.022452852,线圈老化10Ω
0.109621054,0.023994082,线圈老化10Ω
0.106428045,0.02366031,线圈老化10Ω
0.102472109,0.024805965,线圈老化10Ω
0.108795464,0.01186278,线圈老化10Ω
0.101385989,0.025398675,线圈老化10Ω
0.100641916,0.027816862,线圈老化10Ω
0.095132351,0.033168491,线圈老化10Ω
0.084901178,0.04224315,线圈老化10Ω
0.088811219,0.042818996,线圈老化10Ω
-1.935060762,0.657763377,线圈老化50Ω
-1.975793758,0.660042876,线圈老化50Ω
-1.982283982,0.662100318,线圈老化50Ω
-1.981249298,0.674661417,线圈老化50Ω
-1.979494653,0.676507059,线圈老化50Ω
-1.980407758,0.677351132,线圈老化50Ω
-1.984785166,0.673658872,线圈老化50Ω
-1.982625851,0.675438684,线圈老化50Ω
-1.987785149,0.678592146,线圈老化50Ω
-1.985678933,0.68132339,线圈老化50Ω
-1.984198963,0.669287295,线圈老化50Ω
-1.992886603,0.67373843,线圈老化50Ω
-1.990599137,0.663590317,线圈老化50Ω
-1.987595586,0.669838374,线圈老化50Ω
-1.984303135,0.663513215,线圈老化50Ω
-1.986443054,0.655186146,线圈老化50Ω
-1.99055455,0.66270921,线圈老化50Ω
-1.990451183,0.660796546,线圈老化50Ω
-1.990578771,0.668050655,线圈老化50Ω
-1.989513522,0.665436033,线圈老化50Ω
-1.990364555,0.674189464,线圈老化50Ω
-1.990007445,0.667383959,线圈老化50Ω
-1.9897792,0.661789193,线圈老化50Ω
-1.991189333,0.662270521,线圈老化50Ω
-1.992456197,0.670184965,线圈老化50Ω
-1.988486276,0.657942373,线圈老化50Ω
-1.989812662,0.662033221,线圈老化50Ω
-1.988162708,0.659333124,线圈老化50Ω
-1.987595228,0.665342427,线圈老化50Ω
-1.992665944,0.663764908,线圈老化50Ω
1.492219157,1.567729999,线圈卡涩
1.421792422,1.297571844,线圈卡涩
